AnimalID	BW	BG	Date
TJKV06M.19	30.5	9.3	2018/05/30
TJKV06M.22	32.6	9.7	2018/05/30
TJKV06M.23	32.4	9.5	2018/05/30
TJKV06M.24	26.8	8.9	2018/05/30
TJKV06M.25	22.9	5.8	2018/05/30
TJKV06M.27	20.9	7	2018/05/30
TJKV06M.31	21.6	7.7	2018/05/30
TJKV06M.33	29.6	9	2018/05/30
TJKV06M.40	24	6.7	2018/05/30
TJKV06M.44	28.4	8.2	2018/05/30
TJKV06M.46	28.4	8.1	2018/05/30
TJKV06M.20	26.4	8.5	2018/05/30
TJKV06M.06	26.2	5.6	2018/05/30
TJKV06M.07	30.8	7.5	2018/05/30
TJKV06M.11	26.8	7.3	2018/05/30
TJKV06M.13	28.8	8	2018/05/30
TJKV06M.15	31	9.6	2018/05/30
TJKV06M.18	29.2	9	2018/05/30
TJKV06M.02	24.7	7.3	2018/05/30
TJKV06M.28	24.5	4.7	2018/05/30
TJKV06M.29	22.7	5.6	2018/05/30
TJKV06M.03	22.9	5.7	2018/05/30
TJKV06M.34	25.2	7.6	2018/05/30
TJKV06M.42	22.9	6.3	2018/05/30
TJKV06M.43	25	7	2018/05/30
TJKV06M.41	26.7	7	2018/05/30
TJKV06M.45	27.2	7.1	2018/05/30
TJKV06M.10	32	7.8	2018/05/30
TJKV06M.08	27.7	6.2	2018/05/30
TJKV06M.12	30.7	7	2018/05/30
TJKV06M.14	35.6	9	2018/05/30
TJKV06M.16	29.2	5.8	2018/05/30
TJKV06M.17	27.8	8.4	2018/05/30
TJKV06M.21	27.6	7.9	2018/05/30
TJKV06M.26	23.5	5.3	2018/05/30
TJKV06M.32	21.9	4.3	2018/05/30
TJKV06M.35	21.9	6	2018/05/30
TJKV06M.36	25.7	6.3	2018/05/30
TJKV06M.37	23.3	4.9	2018/05/30
TJKV06M.38	26.6	6.5	2018/05/30
TJKV06M.47	28.2	6.2	2018/05/30
TJKV06M.48	25	5.4	2018/05/30
TJKV06M.30	29.9	7.5	2018/06/30
TJKV06M.04	28.9	8.2	2018/06/30
TJKV06M.05	30.5	6.8	2018/06/30
TJKV06M.01	28.1	10.8	2018/06/30
TJKV06M.19	31.6	11.3	2018/06/30
TJKV06M.22	32.9	8.8	2018/06/30
TJKV06M.23	34.2	8.2	2018/06/30
TJKV06M.24	27.2	7.3	2018/06/30
TJKV06M.25	23.2	7.2	2018/06/30
TJKV06M.27	22.2	7.2	2018/06/30
TJKV06M.31	21.9	6.9	2018/06/30
TJKV06M.33	29.7	9.9	2018/06/30
TJKV06M.40	25.9	5.9	2018/06/30
TJKV06M.44	28.3	7.5	2018/06/30
TJKV06M.46	28.8	6.3	2018/06/30
TJKV06M.20	25.6	6.1	2018/06/30
TJKV06M.06	28.2	7.5	2018/06/30
TJKV06M.07	32.2	8.8	2018/06/30
TJKV06M.11	26.7	6	2018/06/30
TJKV06M.13	28.6	9	2018/06/30
TJKV06M.15	28.1	7.5	2018/06/30
TJKV06M.18	28.8	9	2018/06/30
TJKV06M.02	26.1	10.2	2018/06/30
TJKV06M.28	25.2	5.9	2018/06/30
TJKV06M.29	23.7	4.7	2018/06/30
TJKV06M.03	23.2	4.9	2018/06/30
TJKV06M.34	24.5	4.3	2018/06/30
TJKV06M.42	23.9	6.4	2018/06/30
TJKV06M.43	26	6.1	2018/06/30
TJKV06M.41	26.4	4.3	2018/06/30
TJKV06M.45	27.5	3.8	2018/06/30
